Country,City,Airport,Notes,Refs
Albania,Tirana,Tirana International Airport Nënë Tereza,,
Austria,Graz,Graz Airport,,
Austria,Innsbruck,Innsbruck Airport,,
Austria,Klagenfurt,Klagenfurt Airport,Seasonal,
Austria,Salzburg,Salzburg Airport,,
Austria,Vienna,Vienna International Airport,,
Belgium,Brussels,Brussels Airport,,
Bulgaria,Sofia,Sofia Airport,,
Bulgaria,Varna,Varna Airport,Seasonal,
Croatia,Dubrovnik,Dubrovnik Airport,Seasonal,
Croatia,Pula,Pula Airport,Seasonal,
Croatia,Split,Split Airport,Seasonal,
Cyprus,Larnaca,Larnaca International Airport,,
Cyprus,Paphos,Paphos International Airport,,
Czech Republic,Prague,Václav Havel Airport Prague,,
Denmark,Aarhus,Aarhus Airport,,
Denmark,Copenhagen,Copenhagen Airport,,
Egypt,Hurghada,Hurghada International Airport,,
Egypt,Marsa Alam,Marsa Alam International Airport,,
Egypt,Sharm El Sheikh,Sharm El Sheikh International Airport,Resumes 1 April 2020,[3][4]
Estonia,Tallinn,Tallinn Airport,,
Finland,Helsinki,Helsinki Airport,,
Finland,Rovaniemi,Rovaniemi Airport,Seasonal,
France,Ajaccio,Ajaccio Napoleon Bonaparte Airport,Seasonal,
France,Bastia,Bastia – Poretta Airport,Seasonal,
France,Biarritz,Biarritz Pays Basque Airport,,
France,Bordeaux,Bordeaux–Mérignac Airport,Base,
France,Brest,Brest Bretagne Airport,,
France,Calvi,Calvi - Sainte-Catherine Airport,Seasonal,[5]
France,Figari,Figari Sud-Corse Airport,Seasonal,
France,Grenoble,Grenoble–Isère Airport,Seasonal,
France,La Rochelle,La Rochelle – Île de Ré Airport,Seasonal,
France,Lille,Lille Airport,,
France,Lyon,Lyon–Saint-Exupéry Airport,Base,
France,Marseille,Marseille Provence Airport,,
France,Montpellier,Montpellier–Méditerranée Airport,,
France,Nantes,Nantes Atlantique Airport,,
France,Nice,Nice Côte d'Azur Airport,Base,
France,Paris,Charles de Gaulle Airport,Base,
France,Paris,Orly Airport,Base,
France,Rennes,Rennes Saint-Jacques Airport,,
France,Toulouse,Toulouse–Blagnac Airport,Base,
Germany,Berlin,Berlin Schönefeld Airport,Base,
Germany,Berlin,Berlin Tegel Airport,Base,
Germany,Dortmund,Dortmund Airport,,
Germany,Dresden,Dresden Airport,,
Germany,Hamburg,Hamburg Airport,,
Germany,Munich,Munich Airport,,
Germany,Stuttgart,Stuttgart Airport,,
Germany,Sylt,Sylt Airport,,
Gibraltar,Gibraltar,Gibraltar International Airport,,
Greece,Athens,Athens International Airport,,
Greece,Chania,Chania International Airport,Seasonal,
Greece,Corfu,Corfu International Airport,Seasonal,
Greece,Heraklion,Heraklion International Airport,Seasonal,
Greece,Kalamata,Kalamata International Airport,Seasonal,
Greece,Kefalonia,Kefalonia International Airport,Seasonal,
Greece,Kos,Kos International Airport,Seasonal,
Greece,Mykonos Island,Mykonos Airport,Seasonal,
Greece,Preveza/Lefkada,Aktion National Airport,Seasonal,
Greece,Rhodes,Rhodes International Airport,Seasonal,
Greece,Santorini,Santorini (Thira) International Airport,Seasonal,
Greece,Thessaloniki,Thessaloniki Airport,,
Greece,Volos,Nea Anchialos National Airport,Seasonal,
Greece,Zakynthos,Zakynthos International Airport,Seasonal,
Hungary,Budapest,Budapest Ferenc Liszt International Airport,,
Iceland,Reykjavík,Keflavík International Airport,,
Isle of Man,Isle of Man,Isle of Man Airport,,
Israel,Tel Aviv,Ben Gurion Airport,,
Italy,Alghero,Alghero-Fertilia Airport,,
Italy,Bari,Bari Karol Wojtyła Airport,,
Italy,Bologna,Bologna Guglielmo Marconi Airport,,
Italy,Brindisi,Brindisi – Salento Airport,,
Italy,Cagliari,Cagliari Elmas Airport,,
Italy,Catania,Catania–Fontanarossa Airport,,
Italy,Lamezia Terme,Genoa Cristoforo Colombo Airport,,
Italy,Milan,Linate Airport,,
Italy,Milan,Milan–Malpensa Airport,Base,
Italy,Naples,Naples International Airport,Base,
Italy,Olbia,Olbia Costa Smeralda Airport,,
Italy,Palermo,Falcone–Borsellino Airport,,
Italy,Pisa,Pisa International Airport,,
Italy,Rome,Leonardo da Vinci–Fiumicino Airport,,
Italy,Turin,Turin Airport,Seasonal,
Italy,Venice,Venice Marco Polo Airport,Base,
Italy,Verona,Verona Villafranca Airport,,
Jersey,Jersey,Jersey Airport,,
Jordan,Aqaba,King Hussein International Airport,Seasonal,
Kosovo[a],Pristina,Pristina International Airport,,
Luxembourg,Luxembourg City,Luxembourg Airport,,
Malta,Malta,Malta International Airport,,
Montenegro,Tivat,Tivat Airport,Seasonal,
Morocco,Agadir,Agadir–Al Massira Airport,,
Morocco,Essaouira,Essaouira-Mogador Airport,Seasonal,
Morocco,Marrakesh,Marrakesh Menara Airport,,
Netherlands,Amsterdam,Amsterdam Airport Schiphol,Base,
Norway,Oslo,"Oslo Airport, Gardermoen",,
Poland,Kraków,Kraków John Paul II International Airport,,
Portugal,Faro,Faro Airport,,
Portugal,Funchal,Madeira Airport,,
Portugal,Lisbon,Lisbon Airport,Base,
Portugal,Ponta Delgada,João Paulo II Airport,,
Portugal,Porto,Porto Airport,Base,
Slovenia,Ljubljana,Ljubljana Jože Pučnik Airport,,
Spain,Alicante,Alicante–Elche Airport,,
Spain,Almería,Almería Airport,,
Spain,Barcelona,Barcelona–El Prat Airport,Base,
Spain,Bilbao,Bilbao Airport,,
Spain,Fuerteventura,Fuerteventura Airport,,
Spain,Granada,Federico García Lorca Airport,,
Spain,Ibiza,Ibiza Airport,Seasonal,
Spain,La Palma,La Palma Airport,,
Spain,Lanzarote,Lanzarote Airport,,
Spain,Las Palmas,Gran Canaria Airport,,
Spain,Menorca,Menorca Airport,Seasonal,
Spain,Madrid,Adolfo Suárez Madrid–Barajas Airport,,
Spain,Málaga,Málaga-Costa del Sol Airport,,
Spain,Murcia,Murcia–San Javier Airport,,
Spain,OviedoGijón,Asturias Airport,,
Spain,Palma de Mallorca,Palma de Mallorca Airport,,
Spain,Santiago de Compostela,Santiago de Compostela Airport,,
Spain,Seville,Sevilla Airport,,
Spain,Tenerife,Tenerife South Airport,,
Spain,Valencia,Valencia Airport,,
Sweden,Gothenburg,Göteborg Landvetter Airport,,
Sweden,Östersund,Åre Östersund Airport,Seasonal,
Sweden,Stockholm,Stockholm Arlanda Airport,,
SwitzerlandFranceGermany,BaselMulhouseFreiburg,EuroAirport Basel Mulhouse Freiburg,Base,
Switzerland,Geneva,Geneva Airport,Base,
Switzerland,Zürich,Zurich Airport,,
Tunisia,Enfidha,Enfidha–Hammamet International Airport,Resumes 2 May 2020,[6]
Turkey,Antalya,Antalya Airport,Seasonal,
Turkey,BodrumMilas,Milas–Bodrum Airport,Seasonal,
Turkey,Dalaman,Dalaman Airport,Seasonal,
Turkey,İzmir,İzmir Adnan Menderes Airport,Seasonal,
United Kingdom,Aberdeen,Aberdeen Airport,,
United Kingdom,Belfast,Belfast International Airport,Base,
United Kingdom,Birmingham,Birmingham Airport,,
United Kingdom,Bournemouth,Bournemouth Airport,Seasonal,
United Kingdom,Bristol,Bristol Airport,Base,
United Kingdom,Edinburgh,Edinburgh Airport,Base,
United Kingdom,Glasgow,Glasgow Airport,Base,
United Kingdom,Inverness,Inverness Airport,Base,
United Kingdom,Isle of Man,Isle of Man Airport,,
United Kingdom,Liverpool,Liverpool John Lennon Airport,Base,
United Kingdom,London,Gatwick Airport,Base,
United Kingdom,London,London Southend Airport,Base,
United Kingdom,London,London Stansted Airport,Base,
United Kingdom,London,Luton Airport,Base,
United Kingdom,Manchester,Manchester Airport,Base,
United Kingdom,Newcastle upon Tyne,Newcastle International Airport,Base,
Southampton,Southampton Airport,Seasonal,,
